Short Stay,Penguins,Longest rivers,Island,Seaside,Historical,Speaking Spanish,Food,Spain,Greece,Argentina,Egypt,Australia
0.0       ,1.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,0.0   ,0.0    ,1.0       ,0.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,1.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,0.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,0.0   ,1.0    ,1.0       ,1.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,1.0   ,1.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,1.0   ,1.0    ,0.0       ,0.0             ,0.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,1.0   ,1.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,1.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,1.0   ,1.0    ,1.0       ,0.0             ,0.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,1.0   ,1.0    ,1.0       ,0.0             ,0.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
1.0       ,0.0     ,0.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,0.0       ,0.0             ,0.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,1.0   ,1.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,1.0     ,0.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,1.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,0.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
1.0       ,0.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,0.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
1.0       ,0.0     ,1.0           ,1.0   ,1.0    ,1.0       ,0.0             ,0.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
1.0       ,0.0     ,0.0           ,1.0   ,1.0    ,1.0       ,0.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,1.0   ,0.0    ,0.0       ,1.0             ,0.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,1.0           ,0.0   ,0.0    ,1.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,1.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,1.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,0.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,1.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,0.0       ,0.0             ,0.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,1.0    ,1.0       ,0.0             ,0.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,1.0   ,1.0    ,1.0       ,0.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,1.0   ,1.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,1.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
1.0       ,1.0     ,1.0           ,1.0   ,1.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,1.0   ,1.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,0.0           ,1.0   ,1.0    ,1.0       ,0.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,1.0           ,1.0   ,1.0    ,0.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,0.0           ,1.0   ,1.0    ,1.0       ,0.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,0.0   ,1.0    ,1.0       ,0.0             ,1.0 ,0.0  ,1.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,1.0     ,1.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,0.0  ,0.0   ,1.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,1.0   ,1.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,0.0           ,1.0   ,1.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,1.0     ,0.0           ,1.0   ,1.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,1.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,0.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,0.0           ,0.0   ,1.0    ,0.0       ,0.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,1.0     ,0.0           ,1.0   ,0.0    ,0.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,1.0       ,0.0             ,0.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
1.0       ,0.0     ,0.0           ,0.0   ,0.0    ,1.0       ,1.0             ,1.0 ,1.0  ,0.0   ,0.0      ,0.0  ,0.0
0.0       ,0.0     ,1.0           ,0.0   ,0.0    ,1.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
0.0       ,0.0     ,1.0           ,1.0   ,0.0    ,1.0       ,0.0             ,1.0 ,0.0  ,0.0   ,0.0      ,1.0  ,0.0
